asset,group,driver,lookback,horizon,tradeable,n,ic,nw_t,p_null,hit,ic_h1,ic_h2,stable,qspread_bp
NZDUSD,fx,real10,5,1,1,5198,-0.00234357885165741,-0.11117568677167579,,0.4715275105809927,0.01626120049788425,-0.02447722343546707,0,0.7173651196072881
NZDUSD,fx,real10,5,5,1,5194,-0.03137593649637181,-2.0984006842103837,0.199,0.48132460531382365,-0.02111143482894766,-0.043779498733237644,1,19.73715653008927
NZDUSD,fx,real10,5,21,1,5178,-0.022345547445878963,-1.1115233401500573,,0.4764387794515257,-0.0322182732087597,-0.00366143889703453,0,19.328561034350532
NZDUSD,fx,real10,21,0,0,5184,-0.27164459615637543,-5.72214887686787,0.0,0.5908564814814815,-0.1991920310816711,-0.34626728338100066,1,
NZDUSD,fx,real10,21,1,1,5182,-0.008082565762392205,-0.8917212467864768,,0.48379004245465074,0.0004678876229779516,-0.016834140267121083,0,2.8381048003661355
NZDUSD,fx,real10,21,5,1,5178,-0.01031660589618283,-1.2319953638950034,,0.48744689069138664,-0.023786266087195074,0.014242055293046518,0,6.921965810754614
NZDUSD,fx,real10,21,21,1,5162,0.01729642573074563,-0.4049145012976551,,0.4672607516466486,-0.05875283274551184,0.12504401793416775,0,12.157638999815767
NZDUSD,fx,be10,1,0,0,5204,0.08512671138319917,6.9942219042831,0.0,0.37701767870868563,0.13134545040860943,0.030538452056255817,1,
NZDUSD,fx,be10,1,1,1,5202,0.027981314985888787,0.7663532596512579,0.0425,0.38427527873894657,0.03534201894829952,0.017256473752717737,0,-6.914466547942497
NZDUSD,fx,be10,1,5,1,5198,0.016149227378338005,0.14681072629292136,,0.391304347826087,0.03149637936550812,-0.004860333205030154,0,-8.409840503271031
NZDUSD,fx,be10,1,21,1,5182,0.01193411816287764,0.21297663326703545,,0.3919336163643381,0.01785796699428758,0.004604189964856399,0,-6.371720211440085
NZDUSD,fx,be10,5,0,0,5200,0.19472698059125168,7.739516057911867,0.0,0.40673076923076923,0.2667225965007106,0.11150511201771958,1,
NZDUSD,fx,be10,5,1,1,5198,0.007664261723339011,0.1674354620753341,,0.44882647171989226,0.014410983839321864,-0.0035689451078906053,0,0.13298455768693876
NZDUSD,fx,be10,5,5,1,5194,0.008907960507453705,0.3382860896971043,,0.4549480169426261,0.03117650202743732,-0.018958962598784598,0,-3.561763257954199
NZDUSD,fx,be10,5,21,1,5178,0.009360842884530688,0.1500676312115731,,0.45886442641946695,0.022227387767939588,-0.010913642545622684,0,-3.8793256369971485
NZDUSD,fx,be10,21,0,0,5184,0.28557064720318825,3.8509100416052453,0.0,0.3854166666666667,0.36998257774713145,0.19443239488789046,1,
NZDUSD,fx,be10,21,1,1,5182,0.00374513626088358,0.18240490217236635,,0.47491316094172137,0.007095914104080023,-0.000543776587977438,0,-1.4325916658038853
NZDUSD,fx,be10,21,5,1,5178,0.0004439916703906564,0.14821170468326397,,0.4689069138663577,0.01788228346566856,-0.022556850377923474,0,4.002942064605566
NZDUSD,fx,be10,21,21,1,5162,-0.017321484897720778,0.37420807746819246,,0.4796590468810539,0.011931502801450689,-0.051213470538265006,0,1.8608199356407373
GOLD,commod,y2,1,0,0,5029,-0.1949551171827959,-9.300706263165742,0.0,0.46351163253131833,-0.09774768388445881,-0.2970650242667902,1,
GOLD,commod,y2,1,1,1,5027,0.001542852948831765,-0.7362203352702533,,0.39665804654863734,-0.004511994303142036,0.0055109824301276585,0,6.173672789341774
GOLD,commod,y2,1,5,1,5023,-0.026376825630293754,-2.3059834220119417,0.0465,0.40792355166235317,-0.029934348169788454,-0.02431758611545302,1,23.203332857438713
GOLD,commod,y2,1,21,1,5007,-0.013177033477062939,-1.6969938974351442,,0.39844218094667466,-0.006491076847510078,-0.022186823752140584,0,38.10564890275101
GOLD,commod,y2,5,0,0,5025,-0.23841472667162228,-8.229984615913267,0.0,0.5512437810945273,-0.17380762665483743,-0.3134834844763613,1,
GOLD,commod,y2,5,1,1,5023,-0.03369273078997956,-2.13067167608371,0.017,0.46625522596058133,-0.026588868918632106,-0.04538639254974769,1,12.74647365460327
GOLD,commod,y2,5,5,1,5019,-0.05444796488883929,-2.0427532748441175,0.0215,0.4722056186491333,-0.07704444655022603,-0.035451952131726784,1,40.482910458311345
GOLD,commod,y2,5,21,1,5003,-0.022418875339697285,-1.0377128010047152,,0.46971816909854086,-0.00582009629500299,-0.04430191329346083,0,33.334795268993126
GOLD,commod,y2,21,0,0,5009,-0.34071557678802794,-5.913215322904346,0.0,0.6029147534438012,-0.2846961774403923,-0.40989652013260625,1,
GOLD,commod,y2,21,1,1,5007,-0.0213205419307186,-1.1947603377924905,,0.47593369283003795,-0.009519060325210335,-0.03680466835050585,0,10.843649351985476
GOLD,commod,y2,21,5,1,5003,-0.027858321175927472,-0.8530967092278321,0.364,0.47551469118528883,-0.0027748240285755442,-0.056775574048624475,0,29.35027322253041
GOLD,commod,y2,21,21,1,4987,-0.08470957946627723,-1.760238018713911,0.1215,0.4948867054341287,-0.04428940833846641,-0.13100481226131372,1,102.26028214544394
GOLD,commod,y10,1,0,0,5029,-0.18669858288003435,-8.036346090010237,0.0,0.5303241201034002,-0.09259835494056691,-0.29916110416131836,1,
GOLD,commod,y10,1,1,1,5027,0.00014575414352213566,-0.5967986574859873,,0.45275512233936743,-0.010172510977992273,0.009564287076015697,0,1.8622729003779275
GOLD,commod,y10,1,5,1,5023,-0.01787754844889085,-1.5399611935929693,,0.4624726259207645,-0.027703033063867327,-0.009582791860148867,0,15.97552024724196
GOLD,commod,y10,1,21,1,5007,-0.0052758121204724345,-0.7618104281343218,,0.45835829838226483,-0.0014989667766191032,-0.012576074545845242,0,17.425544290246822
GOLD,commod,y10,5,0,0,5025,-0.24163538584492644,-6.971750404368042,0.0,0.5709452736318408,-0.15725870312787418,-0.3469197966567867,1,
GOLD,commod,y10,5,1,1,5023,-0.023506909155993017,-1.560619883690072,,0.480390205056739,-0.03217005223962216,-0.018266563879825125,0,5.897532035415921
GOLD,commod,y10,5,5,1,5019,-0.03399789456715057,-1.6167865775699826,0.1615,0.4849571627814306,-0.04386469985842405,-0.030070169008918204,1,32.167685314129045
GOLD,commod,y10,5,21,1,5003,0.0018550263937654468,-0.9384414500169452,,0.4767139716170298,0.003359416470783662,-0.004917444531321307,0,13.6742582999126
GOLD,commod,y10,21,0,0,5009,-0.2790268373905397,-6.287489952443562,0.0,0.5869435016969455,-0.21253410439594864,-0.37388005777117184,1,
GOLD,commod,y10,21,1,1,5007,-0.003982312028201724,-0.6654677371430741,,0.4865188735769922,-0.006719539967109844,-0.006203321956039309,0,2.2861311158714654
GOLD,commod,y10,21,5,1,5003,0.00012446809653870618,-0.8440281108255182,,0.48570857485508695,0.012292419306950804,-0.01977304152833701,0,13.580389239022033
GOLD,commod,y10,21,21,1,4987,-0.06751357611042498,-1.822354476561766,0.194,0.5167435331862843,-0.061800753753991286,-0.08259649942701137,1,101.1835037066087
GOLD,commod,y30,1,0,0,5029,-0.1443270452389956,-6.707157585868042,0.0,0.5082521376019089,-0.06743901131860802,-0.23782758912407284,1,
GOLD,commod,y30,1,1,1,5027,0.0033703375714791953,-0.47744044759944554,,0.4481798289238114,-0.009137873795780377,0.01499329572344862,0,-0.4831189424615395
GOLD,commod,y30,1,5,1,5023,-0.010147783831863792,-0.7318241835162578,,0.45769460481783797,-0.020635379413838938,-0.0002945167996733256,0,14.007482196092164
GOLD,commod,y30,1,21,1,5007,0.0021626755730989,-0.233275971546746,,0.457159976033553,0.0019473035216931312,0.0005592400369862273,0,5.072975141478635
GOLD,commod,y30,5,0,0,5025,-0.17678503877026627,-4.8037961335307084,0.0,0.5490547263681592,-0.09526860074610831,-0.2758158099300742,1,
GOLD,commod,y30,5,1,1,5023,-0.022049086178991012,-0.7356300392129776,,0.48775632092375076,-0.030622131019313277,-0.015109059893719598,0,7.378896592576263
GOLD,commod,y30,5,5,1,5019,-0.03501259596432884,-0.9718899304928047,0.1535,0.4847579199043634,-0.04013170415077406,-0.033817026660819274,1,27.827351661838755
GOLD,commod,y30,5,21,1,5003,0.00265472103431266,-0.4752518003114933,,0.4801119328402958,0.007016504279940579,-0.00444387302503768,0,11.254859886220165
GOLD,commod,y30,21,0,0,5009,-0.21442780927082308,-4.096620935164804,0.0,0.5677779996007187,-0.1414126190497965,-0.3107776116999099,1,
GOLD,commod,y30,21,1,1,5007,-0.0018014625883383108,-0.16504794031350728,,0.4857199920111843,-0.003974661601222116,-0.003928392100882511,0,1.5920747792879753
GOLD,commod,y30,21,5,1,5003,0.00420583888174551,-0.38428647844600466,,0.4811113332000799,0.02426137543259454,-0.026455286413084853,0,2.788389508944621
GOLD,commod,y30,21,21,1,4987,-0.06384803786105583,-1.2948435500713333,0.2275,0.521556045718869,-0.0471826886415339,-0.08726049735349732,1,70.35129680491592
GOLD,commod,slope,1,0,0,5029,-0.027666589217129788,-0.33432593188621845,0.051,0.46589779280174987,-0.019768729797784136,-0.04029517978573938,0,
GOLD,commod,slope,1,1,1,5027,-0.006578832972568908,0.21760011769039062,,0.45076586433260396,-0.01787925675917277,0.0075293388364145305,0,2.493691722402708
GOLD,commod,slope,1,5,1,5023,0.008259396828508297,0.5832386850422685,,0.4503284889508262,-0.008767607159625311,0.028127382662305155,0,-3.9761188708768107
GOLD,commod,slope,1,21,1,5007,0.014865435485102906,0.6683927295344363,,0.4427801078490114,0.007749739487276447,0.022380244948265238,0,-4.754627398906863
GOLD,commod,slope,5,0,0,5025,-0.06798821631018434,-1.2877553936125437,0.007,0.5168159203980099,-0.04564049434329762,-0.09295280047258521,1,
GOLD,commod,slope,5,1,1,5023,0.006111906416715322,0.5595649696157906,,0.47401951025283695,-0.019168506279977522,0.03646142892951036,0,-4.264583500359358
GOLD,commod,slope,5,5,1,5019,0.015961279928999116,0.06591946551291014,,0.4724048615262004,0.01539607363349591,0.01413573737368752,0,-0.9035045142535706
GOLD,commod,slope,5,21,1,5003,0.027901380168571684,-0.11903133367456346,0.36,0.46092344593244056,0.005679142753039916,0.05406836218784672,0,-1.1772027452887877
GOLD,commod,slope,21,0,0,5009,-0.010510594930945244,-0.7232780625794191,,0.49470952285885406,-0.014032728369166123,-0.0062404162571337626,0,
GOLD,commod,slope,21,1,1,5007,0.02113675298329598,0.6703733496388332,,0.48751747553425206,0.011761342325130857,0.03089563606615455,0,-12.566223578629964
GOLD,commod,slope,21,5,1,5003,0.037060538166678626,-0.059518573077464394,0.22,0.47911253248051167,0.023961584199527167,0.05054217570890774,1,-27.70118683317533
GOLD,commod,slope,21,21,1,4987,0.044850258972154465,0.05819371452387015,0.4145,0.4716262281933026,0.007344468434166648,0.08749628743836696,0,-43.22177413633832
GOLD,commod,real10,1,0,0,5029,-0.23922590017723885,-9.224720196847187,0.0,0.5370849075362896,-0.15999817764637825,-0.3339105952657999,1,
GOLD,commod,real10,1,1,1,5027,0.00927334372769648,0.5058347182623397,,0.43942709369405214,0.005735197231227986,0.013204057049271072,0,-0.16067080416224117
GOLD,commod,real10,1,5,1,5023,-0.014646323990356517,-0.6838662307842467,,0.4584909416683257,-0.030250075277476786,0.003170067494903089,0,9.629577085925293
GOLD,commod,real10,1,21,1,5007,-0.009163189530241688,-0.6828083964448464,,0.4505692031156381,-0.014576869845711994,-0.005360872073968758,0,30.162793901994814
GOLD,commod,real10,5,0,0,5025,-0.3504317932789895,-8.506833472094872,0.0,0.6049751243781094,-0.28423255513871,-0.4306197600147621,1,
GOLD,commod,real10,5,1,1,5023,-0.020540657296062352,-0.751681120013495,,0.480390205056739,-0.028741166620236253,-0.01250290823064572,0,5.616626434577028
GOLD,commod,real10,5,5,1,5019,-0.04122116758846363,-1.8801582158905359,0.0995,0.4769874476987448,-0.07509679120749072,-0.005558739706390333,0,38.9969402874297
GOLD,commod,real10,5,21,1,5003,-0.009306701536944866,-1.1438693843410725,,0.4751149310413752,-0.021407865837653122,-0.00019830731453874487,0,40.352117730889866
GOLD,commod,real10,21,0,0,5009,-0.45594466627441355,-8.994680620453163,0.0,0.6590137752046317,-0.42755248621163694,-0.5025924234917895,1,
GOLD,commod,real10,21,1,1,5007,-0.006117145930978299,-0.700070041572969,,0.4885160774915119,-0.011600978219368748,-0.0031056625648558473,0,-1.02161001318967
GOLD,commod,real10,21,5,1,5003,-0.009438798853054368,-1.321830904186547,,0.5020987407555467,-0.017980379094562897,-0.00502430888863786,0,-2.697920655999103
GOLD,commod,real10,21,21,1,4987,-0.045292340342983246,-1.661342678252852,0.372,0.5115299779426509,-0.06798063908146329,-0.0243164754473417,1,87.38044419832244
GOLD,commod,be10,1,0,0,5029,0.02874551727892996,2.561086279210425,0.0445,0.4137999602306622,0.08569128239480547,-0.04182429633864786,0,
GOLD,commod,be10,1,1,1,5027,-0.002943192581553625,-1.4304383146910267,,0.41436244280883233,-0.00805521676007068,0.0004704084601274459,0,2.8586187928397013
GOLD,commod,be10,1,5,1,5023,0.0008125453261974599,-0.9787753940879895,,0.40971530957595065,0.00767113895883917,-0.012085549867748154,0,0.5191618356408488
GOLD,commod,be10,1,21,1,5007,0.005238870022133339,0.029891876428308112,,0.4140203714799281,0.022009599667254017,-0.015179103861047634,0,-18.489616615637356
GOLD,commod,be10,5,0,0,5025,0.09988583139906884,2.7662808553329388,0.0,0.4344278606965174,0.15402005576245165,0.029769387659418067,1,
GOLD,commod,be10,5,1,1,5023,-0.009881012564563548,-0.8581260768814223,,0.4676488154489349,-0.005325431179716407,-0.016542683489731733,0,0.07942513983688117
GOLD,commod,be10,5,5,1,5019,0.01683285414272085,0.6852791658713537,,0.45526997409842596,0.05428078128919685,-0.03196559521813038,0,-14.816103943697192
GOLD,commod,be10,5,21,1,5003,0.01995537626576942,0.6427493492945788,,0.46052368578852687,0.043648631296645514,-0.006548079532676385,0,-40.333118502099495
GOLD,commod,be10,21,0,0,5009,0.13580358727858194,2.6552917198955797,0.012,0.4386105010980236,0.20087697914665195,0.042243332086692814,1,
GOLD,commod,be10,21,1,1,5007,0.008274827129878766,-0.010245209494028979,,0.4737367685240663,0.018427794656291244,-0.006214913203826525,0,-3.779692728584352
GOLD,commod,be10,21,5,1,5003,0.010279996211466365,0.5833992793188123,,0.47951229262442535,0.039305247535398644,-0.024263087562632145,0,-23.748780858372033
GOLD,commod,be10,21,21,1,4987,-0.03299413243909504,-0.11036720227806361,0.5885,0.48606376579105676,0.008171052846403595,-0.08225993564732893,0,11.347249056623648
TLT,bond,y2,1,0,0,5030,-0.5779300958420386,-26.224931874487183,0.0,0.6107355864811134,-0.5857617866845138,-0.5716730888697534,1,
TLT,bond,y2,1,1,1,5028,0.029737600277800848,1.9371261885509323,0.035,0.3834526650755768,0.04090779808276349,0.020488911646137687,1,-6.459979182999983
TLT,bond,y2,1,5,1,5024,-0.004623321930129487,-0.19385251661474612,,0.4010748407643312,0.006440513059468075,-0.01349868658586034,0,1.8865571952031461
TLT,bond,y2,1,21,1,5008,0.003501425841779719,-0.6951610020418952,,0.3955670926517572,0.024683109273207913,-0.010996675101439278,0,25.355930587134544
TLT,bond,y2,5,0,0,5026,-0.5759530919433969,-18.600369195709824,0.0,0.6774771189812973,-0.5671354181197518,-0.5787774526726612,1,
TLT,bond,y2,5,1,1,5024,-0.0008862976749411498,-0.16453924446758245,,0.45322452229299365,0.01607233112131078,-0.016658213392280213,0,2.760738413897186
TLT,bond,y2,5,5,1,5020,-0.0183141013976361,-0.5150296044316736,,0.46334661354581674,-0.004104813166999556,-0.027094678758970012,0,13.799567752577513
TLT,bond,y2,5,21,1,5004,0.01396132921988876,-0.6466019808437967,,0.43764988009592326,0.07791758899855203,-0.03047865776810394,0,40.43823872083767
TLT,bond,y2,21,0,0,5010,-0.6234008662005344,-12.153605556070787,0.0,0.7103792415169661,-0.5822657987075562,-0.6514435288400369,1,
TLT,bond,y2,21,1,1,5008,0.005002749425914696,-0.5196507132449115,,0.461461661341853,0.027926224264906794,-0.012759630123010245,0,5.232680401895083
TLT,bond,y2,21,5,1,5004,0.016501333883063272,-0.6881007853202323,,0.45603517186250997,0.0746007736948388,-0.0281994302846915,0,9.975862570176933
TLT,bond,y2,21,21,1,4988,0.006293987257570473,-1.2270755000505973,,0.4476744186046512,0.12720537375779395,-0.08333010244319494,0,68.62441997365354
