asset,group,driver,lookback,horizon,tradeable,base_rate,hit_raw,chance_agree,p_up_yields_fell,p_up_yields_rose,spread,p_null,spread_h1,spread_h2,n,stable
USDJPY,fx,y30,21,5,1,0.5290585044556374,0.49070127857419604,0.49886287913598626,0.5294354838709677,0.527047913446677,0.002387570424290719,0.9175,0.009024940926749159,0.007050433408168799,5162,0
USDJPY,fx,y30,21,21,1,0.5264282938204431,0.4846482705013603,0.49904476046432134,0.5181451612903226,0.5295489891135303,-0.011403827823207702,0.7675,-0.01010670921769663,0.002629272567922891,5146,0
USDJPY,fx,slope,1,0,0,0.520431765612953,0.3997686969930609,0.4978497023853754,0.4838431710469625,0.5623281393217232,-0.0784849682747607,0.0,-0.0979492922043263,-0.059338761411300234,5188,1
USDJPY,fx,slope,1,1,1,0.5204396451986116,0.435210181257231,0.49785592614962504,0.5196036191296854,0.517193947730399,0.002409671399286495,0.8765,-0.008934846517241968,0.013407872011635291,5186,0
USDJPY,fx,slope,1,5,1,0.5287533770744887,0.4338093400231571,0.496981505764469,0.5273824924536438,0.5273061037173015,7.638873634230325e-05,0.9925,-0.0269264461841221,0.02623809752246331,5182,0
USDJPY,fx,slope,1,21,1,0.5276809910956253,0.4334107626790554,0.49709580000506604,0.523356401384083,0.525103638876094,-0.001747237492011,0.9025,-0.01250226546440858,0.006747237472727541,5166,0
USDJPY,fx,slope,5,0,0,0.5289351851851852,0.423804012345679,0.5002121020518976,0.4760628111834546,0.592608326253186,-0.11654551506973143,0.0,-0.16007432745765182,-0.076732828006564,5184,1
USDJPY,fx,slope,5,1,1,0.5204554226167503,0.4828251640293323,0.500150001169324,0.5252873563218391,0.5138121546961326,0.011475201625706477,0.4205,0.002917677304629329,0.018635458985176823,5182,0
USDJPY,fx,slope,5,5,1,0.5287755890305137,0.4862881421398223,0.5002222911473968,0.536220774243005,0.522127659574468,0.01409311466853691,0.517,-0.003919871148272858,0.028695107141458065,5178,0
USDJPY,fx,slope,5,21,1,0.5278961642774118,0.48488957768306856,0.5002377821054255,0.5305416826738378,0.5198633062793678,0.010678376394470002,0.644,-0.017253400456151535,0.03312841080938922,5162,0
USDJPY,fx,slope,21,0,0,0.5278637770897833,0.46400928792569657,0.5006901245099636,0.5011329305135952,0.5580724876441515,-0.05693955713055632,0.152,-0.08723283830485856,-0.026383618884281868,5168,1
USDJPY,fx,slope,21,1,1,0.5205187766163376,0.49361207897793263,0.5005163455207363,0.523036253776435,0.516075845012366,0.006960408764069004,0.6095,0.00312368700106036,0.01086794755406073,5166,0
USDJPY,fx,slope,21,5,1,0.5290585044556374,0.5025184037194885,0.5007543277018704,0.5388972809667674,0.5165152766308836,0.022382004335883776,0.3365,0.016969532999654313,0.02803257672125936,5162,0
USDJPY,fx,slope,21,21,1,0.5264282938204431,0.5007773027594248,0.500770354464257,0.5354984894259819,0.5178719866999169,0.01762650272606503,0.653,0.020180581672623876,0.014567200030025096,5146,0
USDJPY,fx,real10,1,0,0,0.520431765612953,0.34521973785659216,0.497605529396169,0.4218340611353712,0.6250565355042967,-0.20322247436892554,0.0,-0.16524951434667684,-0.24145962732919257,5188,1
USDJPY,fx,real10,1,1,1,0.5204396451986116,0.4361743154647127,0.4976115647916779,0.5235807860262008,0.5174129353233831,0.006167850702817779,0.6725,-0.007291984642402993,0.020315734989648115,5186,0
USDJPY,fx,real10,1,5,1,0.5287533770744887,0.4291779235816287,0.4966374862008607,0.5240384615384616,0.5350837483023992,-0.011045286763937678,0.454,-0.018005432492649687,-0.0031107658286403383,5182,0
USDJPY,fx,real10,1,21,1,0.5276809910956253,0.4260549748354626,0.4967743018506453,0.516213847502191,0.5347253744893328,-0.018511526987141758,0.204,-0.026749937758069164,-0.008806211582012335,5166,0
USDJPY,fx,real10,5,0,0,0.5289351851851852,0.3221450617283951,0.4996651020233196,0.373536299765808,0.699873896595208,-0.32633759682940006,0.0,-0.3191619701053663,-0.33132551127088883,5184,1
USDJPY,fx,real10,5,1,1,0.5204554226167503,0.47568506368197605,0.49975526125005043,0.519140625,0.5203867171080285,-0.001246092108028507,0.935,-0.019539343582964885,0.018063760802172424,5182,0
USDJPY,fx,real10,5,5,1,0.5287755890305137,0.47856315179606024,0.499655448721535,0.5316653635652854,0.5288178376104333,0.002847525954852048,0.891,-0.01308364072007312,0.02134806265457545,5178,0
USDJPY,fx,real10,5,21,1,0.5278961642774118,0.46667958155753586,0.49969736822945854,0.5189972581276929,0.5418074324324325,-0.022810174304739528,0.3435,-0.030029851338351565,-0.011734904880066233,5162,0
USDJPY,fx,real10,21,0,0,0.5278637770897833,0.31443498452012386,0.5007979564646455,0.354025583145222,0.7159468438538206,-0.3619212607085986,0.0,-0.37268149038159415,-0.34188528975782617,5168,1
