date,side,level,touch_ts,touch_close,fwd_ret_15m,outcome_15m,fwd_ret_60m,outcome_60m,fwd_ret_240m,outcome_240m,outcome_1440m,fwd_ret_1440m
2022-04-21,put,0.9478672985781991,2022-04-21 07:15:00,0.94788,-0.0005274929315947086,break,-0.0005274929315947086,break,0.0005063932143309913,reject,,
2022-04-21,put,0.9478672985781991,2022-04-21 08:43:00,0.94807,0.00026369360912181783,reject,-0.00030588458658120654,break,0.0012340860906894235,reject,,
2022-04-21,put,0.9478672985781991,2022-04-21 09:00:00,0.94803,0.0006434395536005777,reject,0.0003691866291151147,reject,0.0010653671297320422,reject,,
2022-04-21,put,0.9478672985781991,2022-04-21 09:30:00,0.94806,-2.109571124198073e-05,reject,-0.0005273927810476309,break,0.0012235512520304415,reject,,
2022-04-21,put,0.9478672985781991,2022-04-21 10:12:00,0.948,-0.0004008438818564608,break,0.00042194092827019247,reject,0.002141350210970616,reject,,
2022-06-07,put,0.970873786407767,2022-06-07 04:29:00,0.97111,0.0004839822471192079,reject,0.0014931367198360856,reject,0.002667051106465701,reject,,
2022-06-14,put,1.0,2022-06-14 15:24:00,1.00012,0.0011098668159823522,reject,0.0016598008239010476,reject,0.003319601647802539,reject,,
2022-06-14,put,1.0,2022-06-14 18:09:00,1.00014,0.001119843221949024,reject,0.0029095926570279484,reject,0.0010998460215567718,reject,,
2022-06-14,put,1.0,2022-06-14 23:10:00,1.00016,0.00029995200767873875,reject,,,,,,
2022-06-14,put,1.0,2022-06-14 23:30:00,1.00027,-0.0003898947284233234,break,,,,,,
2022-06-15,put,1.0,2022-06-15 00:24:00,1.00024,-0.000139966408062131,reject,-0.0010997360633447917,break,-0.00035991362073106714,break,,
2022-06-15,put,1.0,2022-06-15 05:30:00,1.00004,0.0005599776008957669,reject,-0.0008699652013919312,break,-0.0019499220031198305,break,,
2022-06-15,put,1.0,2022-06-15 05:52:00,1.00018,7.998560259148135e-05,reject,-0.001759683257013811,break,-0.0027395068887601237,break,,
2022-06-15,put,1.0,2022-06-15 06:07:00,1.00026,-0.0011596984783955877,break,-0.001179693279747207,break,-0.0027092955831482524,break,,
2022-06-15,put,1.0,2022-06-15 12:12:00,1.00026,0.00011996880810993815,reject,0.0007598024513626456,reject,0.002079459340571521,reject,,
2022-06-15,put,1.0,2022-06-15 12:17:00,1.00017,-0.0005499065158923733,break,0.0008298589239827958,reject,0.0018296889528779392,reject,,
2022-06-15,put,1.0,2022-06-15 13:02:00,1.0003,0.0006997900629810427,reject,-0.0004698590422872462,break,0.002519244226732109,reject,,
2022-06-15,put,1.0,2022-06-15 13:56:00,1.0002,-0.0003499300139971906,break,0.00040991801639678194,reject,0.0006398720255949009,reject,,
2022-06-15,put,1.0,2022-06-15 14:10:00,1.0001,1.9998000199805688e-05,reject,0.0011998800119989994,reject,0.004379562043795637,reject,,
2022-06-15,put,1.0,2022-06-15 18:00:00,1.00039,0.00332870180629552,reject,-0.00202920860864253,break,-0.005307929907336084,break,,
2022-06-15,put,1.0,2022-06-15 18:37:00,1.00012,-0.0027696676398831777,break,-0.0052193736751589,break,-0.004419469663640263,break,,
2022-07-20,put,0.970873786407767,2022-07-20 10:49:00,0.97096,-0.0007827304935322799,break,-6.179451264731739e-05,reject,8.239268352960849e-05,reject,,
2022-07-20,put,0.970873786407767,2022-07-20 21:09:00,0.97077,0.0006283671724507389,reject,0.00017511872019126962,reject,,,,
2022-07-20,put,0.970873786407767,2022-07-20 21:44:00,0.97122,2.0592656658546815e-05,reject,-0.000123555939951836,reject,,,,
2022-07-20,put,0.970873786407767,2022-07-20 22:11:00,0.97108,-0.00014416937842409716,reject,0.00033982782057084826,reject,,,,
2022-07-21,put,0.970873786407767,2022-07-21 01:49:00,0.97104,0.0002574559235457574,reject,-0.0006178942165101509,break,-0.0014005602240896309,break,,
2022-07-21,put,0.970873786407767,2022-07-21 02:18:00,0.97112,-0.000360408600378892,break,-0.000844385863744912,break,-0.0010297388582255484,break,,
2022-07-21,put,0.970873786407767,2022-07-21 07:06:00,0.9712,0.0011120263591433144,reject,0.002677100494234086,reject,0.0012355848434926209,reject,,
