zlb,cls,h,outcome,pred,demean,t,r,n_dates,mde_r,abs_t
126,FX,21,rng,convexity,False,0.3326656593771498,0.029741358557348874,127,0.24845982263651187,0.3326656593771498
252,FX,21,rng,convexity,False,0.3326656593771498,0.029741358557348874,127,0.24845982263651187,0.3326656593771498
252,all,5,rng,cvol_z,True,0.342975926184411,0.015620219411027566,484,0.12727272727272726,0.342975926184411
252,all,5,rng,cvol_chg5,True,0.35217185305423354,0.015266806768923892,534,0.12116785027421631,0.35217185305423354
126,all,5,rng,cvol_chg5,True,0.35217185305423354,0.015266806768923892,534,0.12116785027421631,0.35217185305423354
252,all,21,rng,convexity,False,0.3642849009481957,0.03256535051076609,127,0.24845982263651187,0.3642849009481957
126,all,21,rng,convexity,False,0.3642849009481957,0.03256535051076609,127,0.24845982263651187,0.3642849009481957
126,all,21,ret,convexity,True,0.3678684825688555,0.03288536102948835,127,0.24845982263651187,0.3678684825688555
252,all,21,ret,convexity,True,0.3678684825688555,0.03288536102948835,127,0.24845982263651187,0.3678684825688555
126,gold,21,ret,convexity,False,0.3746308141393583,0.03348920334565192,127,0.24845982263651187,0.3746308141393583
252,gold,21,ret,convexity,False,0.3746308141393583,0.03348920334565192,127,0.24845982263651187,0.3746308141393583
252,gold,10,rng,skew,False,0.3746556603697017,0.02300882134418098,267,0.17135721718138927,0.3746556603697017
126,gold,10,rng,skew,False,0.3746556603697017,0.02300882134418098,267,0.17135721718138927,0.3746556603697017
252,all,1,ret,cvol_chg5,False,0.3839411058897493,0.0074329241580817435,2670,0.05418790998013285,0.3839411058897493
126,all,1,ret,cvol_chg5,False,0.3839411058897493,0.0074329241580817435,2670,0.05418790998013285,0.3839411058897493
252,gold,5,rng,vrp_trail20,False,0.3914791871870022,0.01703447280295778,530,0.12162422797365942,0.3914791871870022
126,gold,5,rng,vrp_trail20,False,0.3914791871870022,0.01703447280295778,530,0.12162422797365942,0.3914791871870022
252,all,21,ret,cvol_chg5,False,0.4109371038501407,0.03687813863694282,126,0.2494438257849294,0.4109371038501407
126,all,21,ret,cvol_chg5,False,0.4109371038501407,0.03687813863694282,126,0.2494438257849294,0.4109371038501407
252,FX,21,ret,convexity,False,0.43541859954348083,0.03891552279592609,127,0.24845982263651187,0.43541859954348083
126,FX,21,ret,convexity,False,0.43541859954348083,0.03891552279592609,127,0.24845982263651187,0.43541859954348083
252,FX,1,ret,vrp_trail20,False,0.471476399681763,0.009153203961553124,2655,0.05434076757569432,0.471476399681763
126,FX,1,ret,vrp_trail20,False,0.471476399681763,0.009153203961553124,2655,0.05434076757569432,0.471476399681763
252,gold,10,ret,convexity,False,0.4866300154056727,0.02988009650198251,267,0.17135721718138927,0.4866300154056727
126,gold,10,ret,convexity,False,0.4866300154056727,0.02988009650198251,267,0.17135721718138927,0.4866300154056727
126,FX,1,ret,cvol_z,False,0.4922069919745198,0.009750512001094409,2550,0.05544826240669376,0.4922069919745198
252,all,21,ret,convexity,False,0.5227435352094703,0.046704580925356946,127,0.24845982263651187,0.5227435352094703
126,all,21,ret,convexity,False,0.5227435352094703,0.046704580925356946,127,0.24845982263651187,0.5227435352094703
252,FX,10,ret,cvol_chg5,False,0.5294784977652364,0.0325698601243992,266,0.17167901505579042,0.5294784977652364
126,FX,10,ret,cvol_chg5,False,0.5294784977652364,0.0325698601243992,266,0.17167901505579042,0.5294784977652364
252,all,1,ret,cvol_z,True,0.533542006043299,0.010840667578220104,2424,0.05687111245916712,0.533542006043299
126,FX,5,rng,vrp_trail20,True,0.5348652484892454,0.023248725250247626,531,0.12150965024876893,0.5348652484892454
252,FX,5,rng,vrp_trail20,True,0.5348652484892454,0.023248725250247626,531,0.12150965024876893,0.5348652484892454
