instrument,date,regime,hl_75_pct,oc_med_pct,side,filled,outcome,pnl_pct,open,high,low,close
EURUSD,2021-07-28 00:00:00+00:00,RANGE,0.4839,0.1689,,False,no_fill,0.0,1.18206,1.18498,1.17722,1.18456
EURUSD,2021-07-29 00:00:00+00:00,RANGE,0.4788,0.1671,,False,no_fill,0.0,1.18458,1.18944,1.18407,1.18904
EURUSD,2021-07-30 00:00:00+00:00,RANGE,0.4941,0.1725,,False,no_fill,0.0,1.18902,1.19088,1.18516,1.18671
EURUSD,2021-08-01 00:00:00+00:00,RANGE,0.4871,0.17,,False,no_fill,0.0,1.18623,1.18702,1.18623,1.18662
EURUSD,2021-08-02 00:00:00+00:00,RANGE,0.4723,0.1649,,False,no_fill,0.0,1.1866,1.18971,1.1859,1.18741
EURUSD,2021-08-03 00:00:00+00:00,RANGE,0.4589,0.1602,,False,no_fill,0.0,1.18742,1.18934,1.18536,1.18696
EURUSD,2021-08-04 00:00:00+00:00,RANGE,0.4452,0.1554,,False,no_fill,0.0,1.18694,1.18998,1.18328,1.18376
EURUSD,2021-08-05 00:00:00+00:00,RANGE,0.4483,0.1565,,False,no_fill,0.0,1.18375,1.18574,1.1828,1.18333
EURUSD,2021-08-06 00:00:00+00:00,RANGE,0.435,0.1518,BUY,True,loss,-0.21749,1.18332,1.18335,1.17544,1.17616
EURUSD,2021-08-08 00:00:00+00:00,RANGE,0.5022,0.1753,,False,no_fill,0.0,1.17643,1.17643,1.17425,1.17478
EURUSD,2021-08-09 00:00:00+00:00,RANGE,0.4898,0.171,,False,no_fill,0.0,1.17479,1.1769,1.17348,1.17362
EURUSD,2021-08-10 00:00:00+00:00,BEAR,0.4769,0.1665,,False,no_fill,0.0,1.1736,1.17428,1.17094,1.17196
EURUSD,2021-08-11 00:00:00+00:00,BEAR,0.4667,0.1629,,False,no_fill,0.0,1.17198,1.1754,1.1706,1.17418
EURUSD,2021-08-12 00:00:00+00:00,BEAR,0.4604,0.1607,,False,no_fill,0.0,1.17416,1.17483,1.17238,1.17358
EURUSD,2021-08-13 00:00:00+00:00,BEAR,0.447,0.156,,False,no_fill,0.0,1.1736,1.18049,1.17304,1.17954
EURUSD,2021-08-15 00:00:00+00:00,BEAR,0.4893,0.1708,,False,no_fill,0.0,1.17961,1.18012,1.17918,1.17942
EURUSD,2021-08-16 00:00:00+00:00,RANGE,0.4744,0.1656,,False,no_fill,0.0,1.1794,1.18008,1.17675,1.17778
EURUSD,2021-08-17 00:00:00+00:00,RANGE,0.4642,0.162,BUY,True,win,0.46421,1.17777,1.17849,1.1702,1.17094
EURUSD,2021-08-18 00:00:00+00:00,RANGE,0.5204,0.1817,,False,no_fill,0.0,1.17092,1.17428,1.16936,1.17028
EURUSD,2021-08-19 00:00:00+00:00,RANGE,0.5052,0.1764,,False,no_fill,0.0,1.17029,1.17043,1.16656,1.16766
EURUSD,2021-08-20 00:00:00+00:00,BEAR,0.5,0.1746,,False,no_fill,0.0,1.16768,1.17046,1.1664,1.1699
EURUSD,2021-08-22 00:00:00+00:00,BEAR,0.4924,0.1719,,False,no_fill,0.0,1.1697,1.1702,1.1693,1.16969
EURUSD,2021-08-23 00:00:00+00:00,BEAR,0.4775,0.1667,,False,no_fill,0.0,1.1697,1.17504,1.16953,1.17442
