combo,target_lag_h,ic_select,n_select
leg_discretionary_staples_yahoo+jordan_composite_yahoo+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.12742847218583492,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.12713113223338723,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+usd_basket,3,0.12660658761543017,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+copper_gold_ratio_yahoo+usd_basket,3,0.12652874724364624,12368
leg_hy_ig_credit_yahoo+usd_basket,12,0.12013129793200883,12368
jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.11398472420746453,12368
jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.11393466225611211,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.11093830899371322,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.11015287246432438,12368
leg_discretionary_staples_yahoo+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.1100801391697707,12368
leg_discretionary_staples_yahoo+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.10958316947476839,12368
jordan_composite_yahoo+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.1095272058869514,12368
jordan_composite_yahoo+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.10947962098343611,12368
leg_discretionary_staples_yahoo+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.10851903865934086,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.10831505971147759,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng,3,0.10775731815800757,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.10758877956391237,12368
leg_discretionary_staples_yahoo+copper_gold_ratio_yahoo+hangseng,3,0.10730697311818567,12368
leg_discretionary_staples_yahoo+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.10706870528443514,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo,3,0.10591881312456033,12368
jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng,3,0.10573430495325443,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.10547344093339374,12368
jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.10520669131992624,12368
leg_discretionary_staples_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.10481601728318346,12368
leg_discretionary_staples_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.1046877370852927,12368
jordan_composite_yahoo+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.10440107688914224,12368
jordan_composite_yahoo+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo,3,0.10405994407829204,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+hangseng,3,0.10327865514963253,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+hangseng+usd_basket,3,0.10296592155135216,12368
leg_discretionary_staples_yahoo+hangseng,3,0.1024748258117584,12368
leg_discretionary_staples_yahoo+hangseng+usd_basket,3,0.10204875115965165,12368
jordan_composite_yahoo+copper_gold_ratio_yahoo+hangseng,3,0.1020394163297137,12368
jordan_composite_yahoo+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.101758418879249,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo,3,0.10168028676729621,12368
jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo,3,0.10107126388644909,12368
jordan_composite_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.10012552484744967,12368
jordan_composite_yahoo+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.10000675488004537,12368
leg_discretionary_staples_yahoo+copper_gold_ratio_yahoo,3,0.09987790818219056,12368
jordan_composite_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.09983072845781028,12368
jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.09894297649610967,12368
hy_ig_oas_diff+leg_hy_ig_credit_yahoo,6,0.09838115553855527,12368
jordan_composite_yahoo+hy_ig_oas_diff+hangseng,3,0.09663047410657519,12368
jordan_composite_yahoo+hy_ig_oas_diff+hangseng+usd_basket,3,0.096360450560016,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.09569103602295449,12368
leg_discretionary_staples_yahoo+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.09545259675922964,12368
jordan_composite_yahoo+copper_gold_ratio_yahoo,3,0.09532756970592554,12368
jordan_composite_yahoo+hangseng,3,0.0938912469243493,12368
jordan_composite_yahoo+hangseng+usd_basket,3,0.09352418098108063,12368
jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.0919778201996513,12368
hy_ig_oas_diff+leg_hy_ig_credit_yahoo+usd_basket,6,0.09177266222983041,12368
jordan_composite_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+usd_basket,3,0.0912206176425702,12368
jordan_composite_yahoo+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.09060568738246252,12368
leg_discretionary_staples_yahoo+copper_gold_ratio_yahoo+usd_basket,3,0.08951090238848973,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+copper_gold_ratio_yahoo+usd_basket,3,0.08938200595183977,12368
jordan_composite_yahoo+copper_gold_ratio_yahoo+usd_basket,3,0.08590863489283981,12368
hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.06659260636352457,12368
hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.06625406348465168,12368
hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.06550961861620111,12368
hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.061526613915629094,12368
hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng,3,0.06078579751022616,12368
hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.05723534446090144,12368
hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo,3,0.05709676307570479,12368
hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.05688888399197595,12368
copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.05645817534886495,12368
copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.0563562470328547,12368
