Date,Pair,Bot,Dir,Lots,Entry,Close,PnL,Swap,Net,Opened,Closed,Duration
06-10,XAUUSD,Regime V2,SELL,0.31,4163.88000,4157.19000,+154.70,0.00,+154.70,2026-06-10 17:21 UTC,2026-06-10 17:34 UTC,12m
06-10,XAUUSD,Regime V2,SELL,0.33,4122.83000,4123.58000,-18.47,0.00,-18.47,2026-06-10 17:59 UTC,2026-06-10 17:59 UTC,0m
06-10,XAUUSD,Regime V2,SELL,0.29,4124.04000,4124.97000,-20.13,0.00,-20.13,2026-06-10 18:00 UTC,2026-06-10 18:00 UTC,0m
06-10,XAUUSD,Regime V2,SELL,0.29,4127.52000,4128.02000,-10.82,0.00,-10.82,2026-06-10 18:01 UTC,2026-06-10 18:01 UTC,0m
06-10,XAUUSD,Regime V2,SELL,0.26,4129.38000,4127.81000,+30.47,0.00,+30.47,2026-06-10 18:04 UTC,2026-06-10 18:30 UTC,25m
06-10,GBPCHF,Regime V2,SELL,2.87,1.06887,1.06910,-61.74,0.00,-61.74,2026-06-10 18:30 UTC,2026-06-10 18:58 UTC,28m
06-10,GBPCHF,Regime V2,SELL,2.75,1.06855,1.06900,-115.76,0.00,-115.76,2026-06-10 19:09 UTC,2026-06-10 19:31 UTC,22m
06-10,EURCHF,Regime V2,BUY,2.85,0.92251,0.92246,-13.33,0.00,-13.33,2026-06-10 19:41 UTC,2026-06-10 19:41 UTC,0m
06-10,EURCHF,Regime V2,BUY,2.98,0.92261,0.92256,-13.94,0.00,-13.94,2026-06-10 19:42 UTC,2026-06-10 19:42 UTC,0m
06-10,EURCHF,Regime V2,BUY,3.04,0.92258,0.92255,-8.53,0.00,-8.53,2026-06-10 19:43 UTC,2026-06-10 19:43 UTC,0m
06-10,EURJPY,Regime V2,BUY,2.72,185.45500,185.43700,-22.78,0.00,-22.78,2026-06-10 19:45 UTC,2026-06-10 19:50 UTC,5m
06-10,GBPCHF,Regime V2,SELL,2.98,1.06905,1.06934,-80.82,0.00,-80.82,2026-06-10 19:32 UTC,2026-06-10 19:54 UTC,22m
